firm,url,title,email,phone,source,timestamp,notes
Denver Gold Forum,https://americas.miningforum.com/,Mining Forum Americas 2026,,,conference,2026-02-27T01:05:01.390781,Conference attendee list - need to extract specific contacts
Denver Gold Forum,https://vendelux.com/insights/mining-forum-americas-2026-attendee-list/,Mining Forum Americas 2026 Attendee List,,,conference,2026-02-27T01:05:01.390795,Conference attendee list - need to extract specific contacts
Gold Forum Americas,https://dpmmetals.com/site/assets/files/9835/0922-gold-forum-americas-website.pdf,Gold Forum Americas,,,conference,2026-02-27T01:05:05.016903,Conference attendee list - need to extract specific contacts
Gold Forum Americas,https://alliedgold.com/investor-relations/events-and-presentations/events/event-details/2025/Gold-Forum-Americas-2025-2025-9GXTVrcsiu/default.aspx,Gold Forum Americas 2025 - Allied Gold Corporation,,,conference,2026-02-27T01:05:05.016919,Conference attendee list - need to extract specific contacts
Mining Journal,https://www.miningjournal.net/contact-us/,"Contact Us | News, Sports, Jobs - The Mining Journal",,(2147483648,media,2026-02-27T01:05:08.473585,
Mining Journal,https://www.mining-journal.com/contact-us,Contact Us - Mining Journal,,16959101113,media,2026-02-27T01:05:08.621121,
Northern Miner,https://mediakit.northernminer.com/contact/,Contact | Media Kit - The Northern Miner,info@mining.com, 604 683 2037,media,2026-02-27T01:05:13.307608,
Northern Miner,https://www.canadianminingjournal.com/contact/,Contact - Canadian Mining Journal,,8438614459,media,2026-02-27T01:05:13.545651,
Mining.com,https://buyersguide.mining.com/listings/equipment-crushing/flsmiidth-usa-head-offic/,FLSmiidth - USA Head Office - MINING.com - Buyers Guide,,1772172316,media,2026-02-27T01:05:16.674530,
Mining.com,https://ca.linkedin.com/company/miningdotcom,MINING.COM | LinkedIn,,,media,2026-02-27T01:05:16.758358,
The Assay,https://www.theassay.com/contact-us/,Contact Us - The Assay,,15241047794,media,2026-02-27T01:05:22.330423,
The Assay,https://www.assaytech.com/contact-us/,Contact Us - Assay Technology,,,media,2026-02-27T01:05:22.798812,
Kitco Mining,https://corp.kitco.com/contact-us.html,Contact Us - Kitco,info@kitco.com,877-775-4826,media,2026-02-27T01:05:25.893575,
Kitco Mining,https://corp.kitco.com/,Kitco: Home,info@kitco.com,877-775-4826,media,2026-02-27T01:05:26.043392,
